nmrFileName,peakid,mzml,researcher,username,instrument,organization,date
RZ_130121_ML55_522mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 21 00:00:00 EST 2013
RZ_130121_ML55_522mz_3,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 21 00:00:00 EST 2013
RZ_130121_ML55_535mz_1,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 21 00:00:00 EST 2013
RZ_130121_ML55_535mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 21 00:00:00 EST 2013
RZ_130121_ML55_536mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 21 00:00:00 EST 2013
RZ_130121_ML55_549mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 21 00:00:00 EST 2013
RZ_130121_ML55_563mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Jan 21 00:00:00 EST 2013
RZ_130128_S.mutans_399mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Jan 29 00:00:00 EST 2013
RZ_130130_Ps.PAO1_244mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jan 30 00:00:00 EST 2013
RZ_130130_Ps.PAO1_260mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jan 30 00:00:00 EST 2013
RZ_130130_Ps.PAO1_272mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jan 30 00:00:00 EST 2013
RZ_130130_Ps.PAO1_288mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jan 30 00:00:00 EST 2013
RZ_130206_S.mutans_399mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Feb 06 00:00:00 EST 2013
RZ_130220_C.acidophilia_341mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Feb 20 00:00:00 EST 2013
RZ_130225_C_acidophila_553mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Feb 25 00:00:00 EST 2013
RZ_130415_S_mutans_CDM_872mz_1,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Apr 15 00:00:00 EDT 2013
RZ_130415_S_mutans_CDM_872mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Apr 15 00:00:00 EDT 2013
RZ_130415_S_mutans_CDM_872mz_3,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Apr 15 00:00:00 EDT 2013
RZ_130417_S_mutans_872mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Apr 18 00:00:00 EDT 2013
RZ_130417_S_mutans_872mz_3,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Apr 18 00:00:00 EDT 2013
RZ_130417_Ss_mutans_872mz_1,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Apr 17 00:00:00 EDT 2013
RZ_130417_s_mutans_872mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Apr 17 00:00:00 EDT 2013
RZ_130508_S_mutansUA159_CDM_858mz_1,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed May 08 00:00:00 EDT 2013
RZ_130508_S_mutansUA159_CDM_858mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed May 08 00:00:00 EDT 2013
RZ_130508_S_mutansUA159_CDM_872mz_1,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed May 08 00:00:00 EDT 2013
RZ_130508_S_mutansUA159_CDM_872mz_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed May 08 00:00:00 EDT 2013
RZ_130517_ADM22_test,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri May 17 00:00:00 EDT 2013
RZ_130517_S_mutans_CDM_858mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri May 17 00:00:00 EDT 2013
RZ_130517_S_mutans_CDM_872mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri May 17 00:00:00 EDT 2013
magarvey-20140214-15N,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sat Feb 15 00:00:00 EST 2014
zvanycr-20120926-training,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Sep 26 00:00:00 EDT 2012
zvanycr-20121004,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Oct 04 00:00:00 EDT 2012
zvanycr-20121008,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121008_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121008_3,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121008_4,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121009-244mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121009-258mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
zvanycr-20121009-260mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Oct 09 00:00:00 EDT 2012
